Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,102280.5937645,0.001283333333,
1,1,2,2,36492.4089081297,0.0039,270.277961627019
2,2,1,1,370569.8888063,0.00595,
3,2,2,2,19650.9754097712,0.006916666667,273.206696882862
4,2,3,2,14599.9976872105,0.007233333333,285.289413826431
5,2,4,2,8964.53317782661,0.007566666667,295.188603797536
6,2,5,2,10537.1677208193,0.0079,371.314602361348
7,2,6,2,9450.96596622337,0.008216666667,393.297159161066
8,2,7,2,14134.2261273276,0.00855,409.271015411437
9,2,8,2,9119.96787591253,0.008866666667,684.203188251203
10,2,9,2,5079.8554651097,0.0092,758.222294353231
11,3,1,1,369738.4873097,0.011216666667,
12,3,2,2,12727.2251884447,0.012166666667,251.046190985288
13,3,3,2,6819.41159723793,0.012483333333,310.234436651965
14,3,4,2,4072.76660659378,0.012816666667,416.372821962491
15,3,5,2,1818.3088506343,0.01315,441.295706663997
16,3,6,2,9257.09412745182,0.013466666667,536.165031471378
17,3,7,2,6873.03052021776,0.0138,610.183934993496
18,3,8,2,3334.67966153925,0.014116666667,744.169487057898
19,3,9,2,2596.15555348946,0.01445,832.240892760287
20,4,1,1,354357.9378943,0.016466666667,
21,4,2,2,5854.5570670876,0.017416666667,288.254427563718
22,4,3,2,6705.88909948259,0.01775,348.202153534184
23,4,4,2,25574.4294328582,0.018066666667,388.340955996676
24,4,5,2,4973.06747229708,0.0184,391.284099561703
25,4,6,2,3063.6946932105,0.018733333333,438.913477971104
26,4,7,2,1629.08469657422,0.01905,500.879205629174
27,4,8,2,3967.19854212322,0.019383333333,686.201530526937
28,4,9,2,2415.96397506056,0.0197,818.187061429025
29,5,1,1,383042.8958717,0.021716666667,
30,5,2,2,8041.99940220114,0.0226,286.277333780157
31,5,3,2,23737.749769207,0.023216666667,304.175283100579
32,5,4,2,5182.62852248696,0.02355,408.230067288204
33,5,5,2,4062.40434705084,0.023883333333,447.343635788548
34,5,6,2,2471.19597011106,0.0242,452.32215997608
35,5,7,2,4491.47620930844,0.024833333333,612.180414505359
36,6,1,1,360219.7381274,0.027016666667,
37,6,2,2,45864.3581918617,0.02835,270.279349490982
38,6,3,2,3492.37494612337,0.028983333333,329.003256582755
39,6,4,2,2337.14490691481,0.029916666667,746.166061412464
40,7,1,1,336107.3985466,0.032083333333,
41,7,2,2,16189.6343329087,0.03305,273.205423929439
42,7,3,2,13167.777884326,0.033366666667,285.289862474637
43,7,4,2,9007.22933528436,0.0337,295.187184813965
44,7,5,2,14659.1104655793,0.034016666667,371.314556948185
45,7,6,2,13428.7406892978,0.03435,393.296359375875
46,7,7,2,13829.1879480104,0.034666666667,409.271127580723
47,7,8,2,8487.63407133099,0.035,684.203859437688
48,7,9,2,5295.12567244946,0.035316666667,758.220764601733
49,8,1,1,289589.8133544,0.03735,
50,8,2,2,3228.30548018801,0.038216666667,251.046370920267
51,8,3,2,3441.70433093259,0.038533333333,416.371726735377
52,8,4,2,3944.01388507279,0.038866666667,514.89454484497
53,8,5,2,6847.25718719794,0.0392,536.165267017679
54,8,6,2,6699.59438295367,0.039816666667,610.183048739336
55,8,7,2,2432.30830607306,0.04015,744.166940352689
56,8,8,2,2964.0815742538,0.040466666667,832.242034092417
57,9,1,1,345280.839908,0.04265,
58,9,2,2,2621.58627887589,0.043833333333,259.190454943446
59,9,3,2,6547.64870444726,0.04415,288.252331946224
60,9,4,2,2086.23881412251,0.044483333333,288.921496214792
61,9,5,2,5085.53625876337,0.0451,310.23554911454
62,9,6,2,4657.1713066859,0.045433333333,438.913027247124
63,9,7,2,1819.57243183016,0.04575,818.187899131972
64,10,1,1,330050.3094716,0.04795,
65,10,2,2,4762.72677967124,0.050683333333,311.160419612422
66,11,1,1,361999.3628134,0.05275,
67,11,2,2,3709.25178463425,0.053883333333,261.109262287776
68,11,3,2,31144.0092771635,0.054516666667,270.279826351971
69,11,4,2,5189.18727030698,0.054833333333,309.128970412684
70,11,5,2,6203.06415570927,0.055466666667,348.202027032047
71,11,6,2,3506.88928018429,0.055783333333,452.322472137156
72,12,1,1,381299.3074657,0.057966666667,
73,12,2,2,19965.4632406844,0.059,273.206053737451
74,12,3,2,12246.3948701445,0.059316666667,285.290610088908
75,12,4,2,9074.67464362191,0.05965,295.187486298216
76,12,5,2,13770.3071807901,0.059966666667,371.315981527121
77,12,6,2,8148.76067910245,0.0603,393.296785074748
78,12,7,2,10659.7882937054,0.060616666667,409.270188077964
79,12,8,2,6421.23153949233,0.06095,684.205347164652
80,12,9,2,6843.96397802474,0.061266666667,758.222393487209
81,13,1,1,340743.3897383,0.0633,
82,13,2,2,15735.6522115337,0.0642,251.046935116598
83,13,3,2,5789.41085261462,0.064533333333,331.101368603073
84,13,4,2,4717.22523823536,0.06485,416.372017706933
85,13,5,2,2404.30433222337,0.065183333333,425.359677728479
86,13,6,2,6205.00760976351,0.0655,536.163451717429
87,13,7,2,7054.12272765827,0.065833333333,610.183196148535
88,13,8,2,4336.97743677779,0.06615,744.167403738619
89,13,9,2,4005.63300040381,0.066483333333,832.23886254093
90,14,1,1,658100.1247377,0.068483333333,
91,14,2,2,34275.4438600807,0.06945,252.107939437811
92,14,3,2,48932.7885440412,0.069783333333,258.110222643759
93,14,4,2,8503.02322981193,0.0701,262.128551120085
94,14,5,2,23256.9857604085,0.070433333333,278.123072843825
95,14,6,2,50553.1504164088,0.07075,280.13924114093
96,14,7,2,5744.61221474276,0.071083333333,291.11863783705
97,14,8,2,56983.5187756315,0.0714,294.154845129303
98,14,9,2,26760.8850981486,0.071733333333,367.149544654993
99,15,1,1,995578.3850277,0.07375,
100,15,2,2,7821.0821300885,0.074766666667,274.089957622867
101,15,3,2,11465.035422669,0.0751,276.143464926073
102,15,4,2,19644.2661683816,0.075416666667,302.120755064558
103,15,5,2,17781.0381020885,0.07575,316.137510396009
104,15,6,2,17784.9300169609,0.076066666667,328.137286987162
105,15,7,2,11731.2914956553,0.0764,337.170588668005
106,15,8,2,6100.87647382188,0.076716666667,585.270674652702
107,15,9,2,7914.27240515236,0.07705,784.439406278457
108,16,1,1,1361975.272254,0.079066666667,
109,16,2,2,11205.9066848696,0.080133333333,257.146626434871
110,16,3,2,21227.9151186467,0.08045,269.12683757987
111,16,4,2,19290.6356368419,0.080783333333,270.279318690669
112,16,5,2,8826.50354445958,0.0811,283.163306907757
113,16,6,2,46663.2856938423,0.081433333333,309.131055909485
114,16,7,2,10933.9321359656,0.08175,449.272513262171
115,16,8,2,23288.7139371753,0.082083333333,455.188709004349
116,16,9,2,13746.8710493954,0.0824,485.189807215051
117,17,1,1,1155816.332991,0.084416666667,
118,17,2,2,13357.5125862482,0.085466666667,288.217554508497
119,17,3,2,31467.1706577876,0.0858,295.188009673366
120,17,4,2,13031.1952936168,0.086116666667,314.23227079773
121,17,5,2,12934.6269758582,0.08645,371.315898207639
122,17,6,2,26654.6927261404,0.086766666667,393.298199186477
123,17,7,2,17361.7132265304,0.0871,475.157842606757
124,17,8,2,6990.57482022651,0.087433333333,546.388004054139
125,17,9,2,11398.1084968999,0.08775,684.201515910105
126,18,1,1,926820.5225541,0.089766666667,
127,18,2,2,6623.88766164165,0.0908,255.063815004684
128,18,3,2,211047.7944367,0.091116666667,387.180884262911
129,18,4,2,727498.8108043,0.09145,404.207250305642
130,18,5,2,346933.2199192,0.091766666667,409.162602816287
131,18,6,2,336366.7262017,0.0921,425.136832792759
132,18,7,2,516856.9203366,0.092416666667,432.238309047443
133,18,8,2,11361.5366366253,0.09275,470.203695195455
134,18,9,2,4837.9112058184,0.093066666667,758.220292387562
135,19,1,1,1691699.927346,0.095083333333,
136,19,2,2,13934.8094455177,0.0961,267.123120759041
137,19,3,2,9411.47523112354,0.096416666667,369.169523003647
138,19,4,2,43993.7396300996,0.09675,376.259752532865
139,19,5,2,30530.1171355708,0.097066666667,389.186621313649
140,19,6,2,15781.8928596742,0.0974,460.269324467767
141,19,7,2,26108.1441249518,0.097716666667,500.239506706662
142,19,8,2,39949.7562747927,0.09805,795.334417075846
143,19,9,2,165811.120702,0.098366666667,811.309211561245
144,20,1,1,2260606.766784,0.100383333333,
145,20,2,2,4287.40618209399,0.101366666667,281.10235971693
146,20,3,2,77938.7194801032,0.1017,398.241425749974
