Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,57598.0064397124,0.001283333333,
1,2,1,1,348454.1483717,0.003333333333,
2,2,2,2,3868.2063551538,0.004416666667,294.952626852037
3,2,3,2,8636.91176376187,0.004783333333,310.930010275825
4,2,4,2,3313.41141994598,0.00515,316.946449329521
5,2,5,2,10503.1978721667,0.005533333333,378.917493736861
6,2,6,2,8443.14572203276,0.0059,392.931756304571
7,2,7,2,13473.5879656932,0.006266666667,446.904359833435
8,2,8,2,9235.4313477085,0.00665,582.87961201594
9,2,9,2,8750.35684080989,0.007016666667,650.86644247559
10,3,1,1,371680.2923081,0.009016666667,
11,3,2,2,2930.90206309019,0.0101,304.912148517752
12,3,3,2,5780.86004088785,0.010466666667,384.93580153783
13,3,4,2,4429.1607865978,0.010833333333,454.902324638387
14,3,5,2,11323.937612856,0.011216666667,514.891364271908
15,3,6,2,8786.27842451219,0.011583333333,528.907950387534
16,3,7,2,8647.99770795998,0.01195,576.859249466122
17,3,8,2,11638.6107883955,0.012333333333,590.876710682508
18,3,9,2,8015.45794010356,0.0127,644.849153462085
19,4,1,1,376508.542468,0.0147,
20,4,2,2,8043.03579801934,0.015783333333,250.144276800909
21,4,3,2,4090.03967352705,0.01615,362.938726191137
22,4,4,2,7195.53980254767,0.016533333333,460.92205922757
23,4,5,2,5938.51233258204,0.0169,508.874264647962
24,4,6,2,6134.05959028511,0.017266666667,520.909360589141
25,4,7,2,7780.94861204373,0.01765,712.835837457924
26,4,8,2,8093.41152723987,0.018016666667,718.852781374001
27,4,9,2,6957.80718130625,0.018383333333,780.8200892415
28,5,1,1,346429.523281,0.0204,
29,5,2,2,4575.15544767707,0.021666666667,440.887065702802
30,5,3,2,7632.18142455016,0.022033333333,452.920068629917
31,5,4,2,7131.38619975849,0.02275,522.889275260162
32,5,5,2,8561.03837759555,0.023483333333,658.864583742766
33,5,6,2,8766.01696458699,0.02385,786.840509300571
34,6,1,1,384831.1099508,0.02605,
35,6,2,2,5962.46421975938,0.027133333333,310.928861598778
36,6,3,2,6153.33780067525,0.027516666667,316.946206244586
37,6,4,2,13474.1902362698,0.027883333333,378.917132055763
38,6,5,2,8026.67603641165,0.02825,392.934487933254
39,6,6,2,14032.0963422286,0.028633333333,446.902314430142
40,6,7,2,10141.614528053,0.029,582.876219197048
41,6,8,2,8239.80326750758,0.029366666667,650.86767187585
42,6,9,2,6280.1105013336,0.02975,734.829447823112
43,7,1,1,329263.7947297,0.03175,
44,7,2,2,9810.66004683788,0.033266666667,514.890796193009
45,7,3,2,7211.26532597674,0.034,588.894564661078
46,7,4,2,6622.18440615749,0.035066666667,596.894568985315
47,8,1,1,363654.1642892,0.037266666667,
48,8,2,2,4529.71991785202,0.038616666667,454.903726790192
49,8,3,2,9659.66567010395,0.038983333333,590.87879841153
50,8,4,2,9021.0432036623,0.039366666667,644.851704169734
51,8,5,2,8665.55740951879,0.039733333333,712.836621096065
52,8,6,2,8219.40798423171,0.0401,726.851094643226
53,8,7,2,8709.92887887898,0.040483333333,780.823549605883
54,8,8,2,7251.80287203281,0.04085,870.80951606031
55,9,1,1,349525.5205714,0.043033333333,
56,9,2,2,5985.13582699421,0.0441,250.143367493657
57,9,3,2,5269.13849317273,0.044483333333,293.17471927686
58,9,4,2,5271.34347774128,0.04485,460.920003646649
59,9,5,2,4266.67598282154,0.045216666667,530.864990608643
60,9,6,2,7415.5846790552,0.0456,598.852156422147
61,9,7,2,8941.30600896018,0.045966666667,658.86363111119
62,9,8,2,8452.15611918579,0.046333333333,666.841110390599
63,9,9,2,6628.55287440283,0.046716666667,786.836490535786
64,10,1,1,421811.591668,0.048716666667,
65,10,2,2,3327.61375099259,0.0498,310.929788149294
66,10,3,2,5655.63634308361,0.050166666667,316.946873431766
67,10,4,2,13584.735615928,0.050533333333,378.917379816726
68,10,5,2,6594.71783399659,0.050916666667,384.934307779795
69,10,6,2,6629.51207956175,0.051283333333,440.886250053505
70,10,7,2,11195.3084218086,0.05165,446.903798788943
71,10,8,2,12202.8804393392,0.052033333333,582.877284015817
72,10,9,2,12155.1391392598,0.0524,650.864553310835
73,11,1,1,416827.461061,0.054416666667,
74,11,2,2,3553.95474993131,0.055483333333,362.938995132046
