Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,59028.0194415635,0.001283333333,
1,2,1,1,122230.9918207,0.003316666667,
2,2,2,2,3218.84020773591,0.020633333333,273.205538523937
3,2,3,2,3265.32487930167,0.037683333333,285.289276626345
4,3,1,1,151798.2378085,0.039683333333,
5,3,2,2,6403.7117901903,0.057,114.090541793896
6,3,3,2,7215.75793490865,0.074033333333,142.122224570287
7,4,1,1,151358.2927798,0.07605,
8,5,1,1,152834.2068047,0.078133333333,
9,5,2,2,6469.99672942916,0.09545,128.10656035291
10,5,3,2,8034.75774659328,0.112483333333,194.116944515397
11,6,1,1,150794.5110702,0.1145,
12,6,2,2,8002.42549551653,0.131816666667,170.15363372084
13,6,3,2,6364.62322344989,0.14885,285.290066479115
14,7,1,1,168808.1248504,0.150866666667,
15,7,2,2,10715.7340013957,0.1682,142.122705296408
16,7,3,2,6387.94764552653,0.18525,273.205907511354
17,8,1,1,159431.3808676,0.18725,
18,8,2,2,10309.1427669049,0.221516666667,128.106365980142
19,9,1,1,171422.4139751,0.223583333333,
20,9,2,2,12673.3495255627,0.240916666667,114.091045658996
21,9,3,2,9339.66711965458,0.25795,285.289418368355
22,10,1,1,169510.016902,0.259966666667,
23,10,2,2,12256.0203790254,0.277283333333,142.122280536778
24,10,3,2,9131.36300747074,0.294316666667,273.205812757001
25,11,1,1,159330.0018951,0.296333333333,
26,12,1,1,161650.5811423,0.298433333333,
27,13,1,1,163753.5694989,0.3005,
28,13,2,2,11910.7211993221,0.334783333333,128.106704330208
29,14,1,1,156811.6156181,0.336833333333,
30,14,2,2,10216.0845167393,0.35415,136.021024861588
31,14,3,2,11134.482291628,0.3712,285.29001135745
32,15,1,1,162399.1587487,0.373216666667,
33,15,2,2,13423.993722199,0.390533333333,142.122390765455
34,15,3,2,10143.9998081604,0.407583333333,273.205610539358
35,16,1,1,180837.8869074,0.4096,
